Sr. No.,Market Name,Fruit/Crop,Fruit/Crop Variety,Date/Time,Price (per quintal)
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-21,14000.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-21,12500.0
,F & V Market Ganderbal,Cherry,Awal Number,2025-05-21,7500.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-05-21,16000.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-20,12000.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-20,32500.0
,Satellite F&V Market Udhampur,Cherry,cherry-medium,2025-05-20,16000.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-19,12000.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-19,0.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-17,14000.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-17,7500.0
,F & V Market Parimpora Srinagar,Cherry,Italy Awal Number,2025-05-16,7500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-16,14000.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-16,0.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-15,18000.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-15,0.0
,F & V Market Parimpora Srinagar,Cherry,Black Star,2025-05-15,13000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2025-05-14,18000.0
,F & V Market Parimpora Srinagar,Cherry,Guigne Noir Hative (Makhmali),2025-05-14,13000.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-14,0.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-13,0.0
,F & V Market Ganderbal,Cherry,Italy Awal Number,2025-05-13,17000.0
,F & V Market Parimpora Srinagar,Cherry,Guigne Noir Hative (Makhmali),2025-05-13,13000.0
,F & V Market Ganderbal,Cherry,Awal Number,2025-05-13,6500.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-12,0.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-10,0.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-09,0.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-08,0.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-07,0.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-06,0.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-05,0.0
,Bangalore,Cherry,Bigarreau Noir Grossa (Misri),2025-05-03,0.0
,Bangalore,Cherry,cherry-medium,2025-05-02,0.0
,F & V Market Ganderbal,Cherry,cherry-large,2024-05-27,10000.0
,F & V Market Ganderbal,Cherry,other-large,2024-05-27,7500.0
,F&V Mandi Narwal,Cherry,cherry-medium,2024-05-26,17000.0
,F & V Market Ganderbal,Cherry,other-large,2024-05-26,12000.0
,F & V Market Parimpora Srinagar,Cherry,cherry-large,2024-05-26,23500.0
